"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","bundesliga_goalmins","n","bundesliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"3","D1",2022-08-06,"Bochum","Mainz",1,2,"A",1,1,"D",3.34,3.43,2.32,"1-1","1-2",16,3,13,6,2,3,0,0,3,5,11,16,3,8,27,"3-5","Y","Y","N",5,0,"Bochum-Mainz",142,3,25,50,600,150,400,1250,24,75,200,1136,1200
"17","D1",2022-08-14,"Mainz","Union Berlin",0,0,"D",0,0,"D",2.3,3.23,3.6,"0-0","0-0",10,5,10,2,1,0,0,0,4,4,9,14,0,8,23,"4-4","N","N","N",1,0,"Mainz-Union Berlin",0,0,0,10,0,0,80,0,0,0,0,0,0
"20","D1",2022-08-20,"Augsburg","Mainz",1,2,"A",1,1,"D",3.66,3.58,2.13,"1-1","1-2",6,2,14,7,2,2,0,0,3,3,13,19,3,6,32,"3-3","Y","Y","N",4,0,"Augsburg-Mainz",156,3,25,40,400,120,240,1000,18,75,150,936,720
"31","D1",2022-08-27,"Mainz","Leverkusen",0,3,"A",0,3,"A",2.75,3.82,2.52,"0-3","0-3",17,3,7,5,1,6,0,2,3,4,10,12,3,7,22,"3-4","Y","Y","N",7,2,"Mainz-Leverkusen",109,3,85,120,1100,360,840,10200,21,255,595,763,2520
"45","D1",2022-09-04,"Mgladbach","Mainz",0,1,"A",0,0,"D",2.29,3.73,3.16,"0-0","0-1",13,3,12,5,1,4,1,0,4,8,8,15,1,12,23,"4-8","N","N","N",5,1,"Mgladbach-Mainz",55,1,3,75,1400,75,900,225,12,3,36,660,900
"50","D1",2022-09-10,"Hoffenheim","Mainz",4,1,"H",0,0,"D",2.36,3.58,3.14,"0-0","4-1",21,9,10,2,3,2,0,1,7,5,9,13,5,12,22,"7-5","Y","Y","Y",5,1,"Hoffenheim-Mainz",375,5,77,75,1350,375,900,5775,60,385,924,4500,4500
"55","D1",2022-09-16,"Mainz","Hertha",1,1,"D",0,1,"A",1.79,4,4.64,"0-1","1-1",12,2,4,2,3,5,0,0,4,3,12,10,2,7,22,"4-3","Y","N","N",8,0,"Mainz-Hertha",120,2,48,80,1500,160,560,3840,14,96,336,840,1120
"67","D1",2022-10-01,"Freiburg","Mainz",2,1,"H",2,0,"H",2.13,3.66,3.57,"2-0","2-1",13,6,17,7,2,4,0,0,5,5,9,15,3,10,24,"5-5","Y","Y","N",6,0,"Freiburg-Mainz",92,3,52,60,800,180,600,3120,30,156,520,920,1800
"77","D1",2022-10-08,"Mainz","RB Leipzig",1,1,"D",1,0,"H",3.07,3.66,2.36,"1-0","1-1",9,3,12,3,1,1,0,0,4,2,12,12,2,6,24,"4-2","Y","N","N",2,0,"Mainz-RB Leipzig",125,2,29,20,100,40,120,580,12,58,174,750,240
"85","D1",2022-10-15,"Werder Bremen","Mainz",0,2,"A",0,1,"A",2.38,3.68,3.02,"0-1","0-2",14,4,11,5,1,2,0,0,3,3,3,11,2,6,14,"3-3","Y","N","N",3,0,"Werder Bremen-Mainz",102,2,0,30,200,60,180,0,12,0,0,612,360
"91","D1",2022-10-21,"Mainz","FC Koln",5,0,"H",3,0,"H",2.19,3.59,3.47,"3-0","5-0",15,7,6,2,1,5,0,1,5,4,13,14,5,9,27,"5-4","Y","Y","Y",6,1,"Mainz-FC Koln",242,5,60,85,750,425,765,5100,45,300,540,2178,3825
"101","D1",2022-10-29,"Bayern Munich","Mainz",6,2,"H",3,1,"H",1.27,6.7,10.23,"3-1","6-2",25,12,13,5,1,1,0,0,8,5,10,11,8,13,21,"8-5","Y","Y","Y",2,0,"Bayern Munich-Mainz",425,8,167,20,100,160,260,3340,104,1336,2171,5525,2080
"114","D1",2022-11-05,"Mainz","Wolfsburg",0,3,"A",0,1,"A",2.07,3.68,3.72,"0-1","0-3",16,3,10,3,1,1,0,0,9,4,15,6,3,13,21,"9-4","Y","Y","N",2,0,"Mainz-Wolfsburg",187,3,86,20,100,60,260,1720,39,258,1118,2431,780
"125","D1",2022-11-09,"Schalke 04","Mainz",1,0,"H",1,0,"H",3.52,3.77,2.11,"1-0","1-0",13,4,11,1,3,1,0,0,1,6,16,17,1,7,33,"1-6","N","N","N",4,0,"Schalke 04-Mainz",10,1,9,40,300,40,280,360,7,9,63,70,280
"134","D1",2022-11-13,"Mainz","Ein Frankfurt",1,1,"D",1,0,"H",2.84,3.76,2.47,"1-0","1-1",19,6,10,3,2,2,0,0,5,2,12,8,2,7,20,"5-2","Y","N","N",4,0,"Mainz-Ein Frankfurt",107,2,38,40,400,80,280,1520,14,76,266,749,560
"139","D1",2023-01-21,"Stuttgart","Mainz",1,1,"D",1,1,"D",2.44,3.54,3.03,"1-1","1-1",16,4,12,2,1,3,0,0,3,5,15,17,2,8,32,"3-5","Y","N","N",4,0,"Stuttgart-Mainz",76,2,20,40,300,80,320,800,16,40,160,608,640
